"","osmid","lat","lon","id","missing_neighbors","downtown","demand","supply"
"1573",42436784,40.7261202,-74.0015958,1573,FALSE,TRUE,0,0
"1574",42436788,40.7273529,-74.0005803,1574,FALSE,TRUE,0,0
"1575",42436793,40.729686,-73.9986042,1575,FALSE,TRUE,0,0
"1576",42436796,40.7302877,-73.9980696,1576,FALSE,TRUE,0,0
"1577",42436806,40.8449056,-73.9332225,1577,FALSE,FALSE,0,0
"1578",42436807,40.84552,-73.934686,1578,FALSE,FALSE,0,0
"1579",42436812,40.846623,-73.937313,1579,FALSE,FALSE,0,0
"1580",42436832,40.8476869,-73.9421969,1580,FALSE,FALSE,0,0
"1581",42436848,40.730246,-74.00102,1581,FALSE,TRUE,0,0
"1582",42436856,40.7339701,-74.0003713,1582,FALSE,TRUE,0,0
"1583",42436894,40.7326715,-74.0086061,1583,FALSE,TRUE,0,0
"1584",42436899,40.7324705,-74.0098682,1584,FALSE,TRUE,151,0
"1585",42436903,40.7324182,-74.0102359,1585,FALSE,TRUE,0,0
"1586",42436911,40.7763096,-73.9642177,1586,FALSE,FALSE,0,0
"1587",42436913,40.7756416,-73.9626345,1587,FALSE,FALSE,0,0
"1588",42436914,40.7749247,-73.9609303,1588,FALSE,FALSE,0,0
"1589",42436917,40.7742796,-73.9593972,1589,FALSE,FALSE,0,0
"1590",42436919,40.7736031,-73.9578018,1590,FALSE,FALSE,0,0
"1591",42436921,40.7726645,-73.9555742,1591,FALSE,FALSE,0,0
"1592",42436922,40.7716529,-73.9531803,1592,FALSE,FALSE,0,0
"1593",42436929,40.870923,-73.917916,1593,FALSE,FALSE,0,0
"1594",42436930,40.871584,-73.917009,1594,FALSE,FALSE,0,0
"1595",42436935,40.7345291,-73.9922554,1595,FALSE,TRUE,509,0
"1596",42436939,40.7335229,-73.9898448,1596,FALSE,TRUE,0,0
"1597",42436941,40.7326041,-73.9876833,1597,FALSE,TRUE,0,0
"1598",42436942,40.731658,-73.985444,1598,FALSE,TRUE,0,0
"1599",42436943,40.7306534,-73.9830644,1599,FALSE,TRUE,0,0
"1600",42436944,40.729725,-73.980858,1600,FALSE,TRUE,0,0
"1601",42436947,40.728746,-73.978536,1601,FALSE,TRUE,0,0
"1602",42436949,40.7282532,-73.9773526,1602,FALSE,TRUE,0,0
