0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
1.0,2226.471,6631.797,6306.392999999997,7303.330999999999,952.906,3203.7129999999993,4461.702999999999,1601.1399999999999,4823.599,5644.696,5871.376,2313.048,7605.459,5441.516999999997,5308.235999999998,5061.085,4268.221,1457.1439999999996,7586.196999999997,5312.572,5949.149,7857.694999999996,3811.8419999999996,4800.397,3559.027,5060.369999999999,4094.8379999999993,5036.552999999999,5625.824999999999,1109.021,4178.2919999999995,7683.460999999998,2792.9280000000003,5878.203999999999,7572.1630000000005,2405.629,3646.1910000000003,2176.486,1333.55,7942.546999999996,7878.353999999998,6182.250000000001,6157.1179999999995,4129.744000000001,6126.031999999997,4862.747,5017.7779999999975,479.918,5693.557000000001,3741.67
2.0,2459.8030000000003,5535.459999999999,4903.3629999999985,5750.161,2948.747,2093.9420000000005,3058.672999999999,392.385,2883.27,4534.924999999999,4761.605,1407.2549999999999,6482.715999999999,4038.486999999999,3905.205999999999,3951.3139999999994,3158.4500000000007,2259.6679999999997,6183.167000000001,3831.841,4839.378,6454.664999999998,1915.8839999999998,3397.3669999999997,1617.9989999999998,3657.3399999999997,2691.808,3096.224,4145.094,2609.643,3081.859,6587.124,1389.8980000000001,4475.173999999999,6018.9929999999995,2631.915,1705.1629999999998,2979.0099999999998,3329.391,6539.516999999998,6475.324000000001,5072.478999999999,5047.346999999999,3022.2190000000005,4723.001999999999,3766.41,3614.747999999999,2472.349,4583.785999999999,1800.6419999999998
3.0,1694.0759999999998,6331.615999999999,5670.944999999998,6238.962,2421.2639999999997,2894.504,3826.255,998.672,3372.071,5335.486999999999,5562.1669999999995,2012.678,7250.297999999998,4806.069,4672.7880000000005,4751.876,3959.0120000000006,1493.9409999999998,6817.575,4320.642,5639.94,7203.8020000000015,2360.8569999999995,4164.9490000000005,2106.7999999999997,4424.922,3186.052,3585.025,4633.895,2089.297,3878.1109999999994,7383.279999999998,2190.46,5242.755999999999,6507.794000000001,2113.774,2193.964,2213.283,2801.908,7196.249000000001,7224.461,5873.041000000001,5847.909,3822.781000000001,5490.584,4562.566,4382.329999999999,1948.2759999999998,5384.348,2289.4429999999998
4.0,6659.633999999999,2243.7470000000003,310.32599999999996,1367.207,7029.509999999999,3502.7450000000003,2312.8559999999998,5097.183999999999,2811.5530000000003,1676.5370000000003,1217.681,5008.3060000000005,1530.8909999999998,1244.6779999999999,1406.3960000000002,2252.3219999999997,2573.965,7005.220999999999,1503.5279999999998,1604.906,2537.7100000000005,1775.026,5064.956999999999,2222.975,4073.303,2020.0639999999999,2745.726000000001,2679.1880000000006,1418.8639999999998,6210.694,3738.2419999999997,2830.6769999999997,3902.502,747.256,1608.5509999999997,6119.211,4494.661,7392.765999999999,7259.621999999997,1859.8779999999995,1795.6849999999997,2394.1239999999993,1654.3360000000002,3678.6019999999994,324.892,3915.3319999999994,1802.1559999999997,6401.958999999999,1972.867,3966.226999999999
5.0,6096.668,2158.471,1097.585,2269.669,6139.932999999998,2613.1679999999997,1462.862,4207.606999999999,2248.587,932.8589999999999,745.461,4118.728999999999,2507.7609999999995,393.45599999999996,552.906,1362.745,1684.388,6423.398999999999,2405.99,1314.003,1648.133,2677.4880000000003,4501.990999999999,1345.7649999999999,3510.337,1169.639,2182.7599999999998,2212.936,1325.8390000000002,5321.117,2848.665,2922.354,3012.9249999999997,444.016,2511.013,5229.633999999999,3931.6949999999993,6829.799999999999,6370.044999999998,2762.34,2698.147,1593.073,1217.9119999999998,2789.025,917.2240000000002,3025.755,962.828,5512.382,1083.2900000000002,3403.2609999999995
6.0,5346.356,2795.265,2503.942,3622.4459999999995,4909.158999999999,1382.394,1190.945,2976.8329999999996,1856.1449999999998,1661.656,1888.336,2887.955,3622.419,1538.283,1376.798,1078.0449999999998,453.614,5192.625,3885.727,2006.9579999999999,1966.1089999999997,4157.224999999999,3751.6790000000005,707.519,2676.158,1055.676,1127.384,1918.1619999999998,2198.967,4090.3429999999985,1722.683,3849.0589999999997,1782.1509999999998,2061.629,3891.2779999999993,4103.651999999999,3052.851,5911.967000000001,5139.271,4242.076999999999,4177.883999999999,2199.2099999999996,2174.078,1663.0430000000001,2425.5620000000004,2001.198,1655.783,4281.607999999999,1710.5169999999998,2569.082
7.0,7465.4130000000005,1253.744,1430.0619999999997,2560.813,7392.2959999999985,3746.2679999999996,2741.437,5459.969999999999,3617.3319999999994,1132.391,1159.982,4729.768999999999,1319.665,1875.791,1990.081,1824.3709999999999,2651.112,7675.761999999999,2561.468,2501.8410000000003,1631.974,2021.5280000000005,5870.736,2620.036,4879.081999999999,2446.7079999999996,3532.1859999999992,3576.123,2315.7990000000004,5936.8150000000005,3310.291,1840.852,4265.288,1433.271,2802.1569999999997,5691.2599999999975,5300.44,8198.544999999996,7360.297,2796.5580000000004,2732.365,1396.4219999999998,652.371,3250.6510000000003,1526.904,3008.4339999999993,2400.003,6502.633999999999,1131.157,4772.006
8.0,6432.4039999999995,2607.6,674.1790000000001,1251.927,7272.542999999997,3866.5980000000004,2123.882,5011.289999999998,2584.323000000001,2040.3899999999999,1581.534,5372.159,1790.9690000000003,1441.23,1602.948,2616.1749999999997,2937.818,6777.990999999998,1388.248,1377.676,2901.5630000000006,1659.7459999999996,4837.727,2331.054,3846.0730000000003,1943.346,2518.4960000000005,2451.958,1191.634,6574.547000000001,4102.095,3194.529999999999,4145.535,1111.1090000000002,1493.271,6483.064,4267.431,7165.535999999999,7623.474999999998,1744.598,1680.4049999999997,2757.9769999999994,2018.1889999999999,4042.4549999999995,508.86599999999993,4279.184999999999,1574.926,6765.811999999999,2336.7200000000003,3738.9969999999985
9.0,6985.193999999999,2894.186,960.7649999999999,795.478,7679.949,4153.184,2676.6719999999996,5564.079999999997,3137.113,2326.9759999999997,1868.12,5658.745,1240.6280000000002,1895.1169999999997,2056.8349999999996,2902.761,3224.404,7330.780999999998,837.907,1930.4660000000001,3188.149,1109.4049999999997,5390.517,2873.414,4398.863,2496.136,3071.2860000000005,2920.752,1659.6589999999999,6861.133000000002,4388.681,3481.115999999999,4552.941000000001,1397.695,959.6590000000001,6769.650000000001,4820.221,7718.325999999996,7910.060999999998,1194.257,1130.0639999999999,3044.5629999999996,2304.775,4329.040999999999,975.3309999999999,4565.770999999999,2127.716,7052.397999999999,2623.306,4291.786999999998
10.0,5695.407,2397.288,891.472,1895.0809999999997,6504.241999999999,3265.539,1355.581,4274.293,1847.326,1455.494,996.638,4771.1,2470.825,584.9449999999999,746.663,2015.8869999999997,2336.7590000000005,6040.994,2171.276,640.6790000000001,2301.275,2442.774,4100.73,1562.753,3109.0759999999996,1062.789,1781.4989999999998,1714.961,467.411,5973.488000000001,3501.8069999999993,3020.3210000000004,3377.2340000000004,463.28299999999996,2163.913,5882.776,3530.4339999999993,6428.539000000001,6884.885999999999,2527.6259999999997,2463.4329999999995,2173.0809999999997,1456.7290000000003,3442.1670000000004,711.111,3678.897,837.929,6027.843999999999,1736.4320000000002,3001.999999999999
