0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
1.0,2226.471,6631.797,1942.36,6306.392999999997,5788.285,7303.330999999999,952.906,6562.217999999997,3203.7129999999993,4461.702999999999,3578.1979999999985,2325.737,1601.1399999999999,4866.36,4823.599,803.8239999999998,5644.696,6724.307000000001,5871.376,2313.048,7605.459,4379.4349999999995,5441.516999999997,5308.235999999998,5061.085,4268.221,1457.1439999999996,7586.196999999997,5312.572,5852.229,5949.149,7857.694999999996,6021.19,3811.8419999999996,4800.397,3559.027,5060.369999999999,4094.8379999999993,5036.552999999999,5625.824999999999,1109.021,8269.974,2585.147,4178.2919999999995,7683.460999999998,2792.9280000000003,5878.203999999999,2633.465,7572.1630000000005,1817.6809999999996,2405.629,3646.1910000000003,2176.486,1333.55,7942.546999999996,7878.353999999998,6182.250000000001,6157.1179999999995,4129.744000000001,6126.031999999997,7371.215000000001,4862.747,3057.7319999999995,5017.7779999999975,7124.028000000002,6472.9749999999985,479.918,4259.517,5693.557000000001,3741.67
2.0,1694.0759999999998,6331.615999999999,1339.8919999999998,5670.944999999998,5360.305999999999,6238.962,2421.2639999999997,5595.3200000000015,2894.504,3826.255,2975.7299999999987,1723.269,998.672,4147.888,3372.071,1301.807,5335.486999999999,6274.948999999998,5562.1669999999995,2012.678,7250.297999999998,3655.7399999999993,4806.069,4672.7880000000005,4751.876,3959.0120000000006,1493.9409999999998,6817.575,4320.642,5543.02,5639.94,7203.8020000000015,5711.980999999999,2360.8569999999995,4164.9490000000005,2106.7999999999997,4424.922,3186.052,3585.025,4633.895,2089.297,7351.110000000001,1132.92,3878.1109999999994,7383.279999999998,2190.46,5242.755999999999,2332.6310000000003,6507.794000000001,1854.4779999999998,2113.774,2193.964,2213.283,2801.908,7196.249000000001,7224.461,5873.041000000001,5847.909,3822.781000000001,5490.584,6976.745000000003,4562.566,2748.5229999999997,4382.329999999999,6814.819000000001,5506.077000000001,1948.2759999999998,3959.336,5384.348,2289.4429999999998
3.0,6659.633999999999,2243.7470000000003,5111.200999999999,310.32599999999996,889.5769999999999,1367.207,7029.509999999999,501.597,3502.7450000000003,2312.8559999999998,3262.5289999999995,4519.113999999999,5097.183999999999,1834.2659999999998,2811.5530000000003,5903.655999999998,1676.5370000000003,748.699,1217.681,5008.3060000000005,1530.8909999999998,2329.5070000000005,1244.6779999999999,1406.3960000000002,2252.3219999999997,2573.965,7005.220999999999,1503.5279999999998,1604.906,2099.4069999999997,2537.7100000000005,1775.026,1226.367,5064.956999999999,2222.975,4073.303,2020.0639999999999,2745.726000000001,2679.1880000000006,1418.8639999999998,6210.694,2187.305,5027.265,3738.2419999999997,2830.6769999999997,3902.502,747.256,4836.351,1608.5509999999997,7365.758,6119.211,4494.661,7392.765999999999,7259.621999999997,1859.8779999999995,1795.6849999999997,2394.1239999999993,1654.3360000000002,3678.6019999999994,324.892,1296.647,3915.3319999999994,3492.2329999999997,1802.1559999999997,1266.824,676.558,6401.958999999999,4146.451999999999,1972.867,3966.226999999999
4.0,5346.356,2795.265,2990.85,2503.942,1805.2449999999997,3622.4459999999995,4909.158999999999,2874.662,1382.394,1190.945,1246.3999999999999,2418.148,2976.8329999999996,1595.061,1856.1449999999998,3783.3049999999994,1661.656,2741.2669999999994,1888.336,2887.955,3622.419,1109.1779999999999,1538.283,1376.798,1078.0449999999998,453.614,5192.625,3885.727,2006.9579999999999,1869.1889999999999,1966.1089999999997,4157.224999999999,2038.1499999999999,3751.6790000000005,707.519,2676.158,1055.676,1127.384,1918.1619999999998,2198.967,4090.3429999999985,4569.503999999999,3536.3669999999993,1722.683,3849.0589999999997,1782.1509999999998,2061.629,2724.8600000000006,3891.2779999999993,5553.161999999999,4103.651999999999,3052.851,5911.967000000001,5139.271,4242.076999999999,4177.883999999999,2199.2099999999996,2174.078,1663.0430000000001,2425.5620000000004,3388.175,2001.198,1371.8819999999998,1655.783,3140.988,2785.4190000000003,4281.607999999999,2130.893,1710.5169999999998,2569.082
5.0,7465.4130000000005,1253.744,5473.986999999999,1430.0619999999997,1482.3349999999998,2560.813,7392.2959999999985,1708.449,3746.2679999999996,2741.437,3729.537,4901.285,5459.969999999999,2731.201000000001,3617.3319999999994,6266.441999999998,1132.391,787.597,1159.982,4729.768999999999,1319.665,3091.3899999999994,1875.791,1990.081,1824.3709999999999,2651.112,7675.761999999999,2561.468,2501.8410000000003,1234.656,1631.974,2021.5280000000005,714.357,5870.736,2620.036,4879.081999999999,2446.7079999999996,3532.1859999999992,3576.123,2315.7990000000004,5936.8150000000005,3129.2789999999995,5833.044000000001,3310.291,1840.852,4265.288,1433.271,4408.400000000001,2802.1569999999997,8036.299,5691.2599999999975,5300.44,8198.544999999996,7360.297,2796.5580000000004,2732.365,1396.4219999999998,652.371,3250.6510000000003,1526.904,1185.8500000000001,3008.4339999999993,3855.019,2400.003,463.98800000000006,1883.41,6502.633999999999,3706.6360000000004,1131.157,4772.006
6.0,6985.193999999999,2894.186,5737.859999999999,960.7649999999999,1540.0159999999996,795.478,7679.949,552.79,4153.184,2676.6719999999996,3588.088999999999,4844.674,5564.079999999997,2159.826,3137.113,6554.095,2326.9759999999997,1399.138,1868.12,5658.745,1240.6280000000002,2655.067,1895.1169999999997,2056.8349999999996,2902.761,3224.404,7330.780999999998,837.907,1930.4660000000001,2749.8459999999995,3188.149,1109.4049999999997,1876.8059999999996,5390.517,2873.414,4398.863,2496.136,3071.2860000000005,2920.752,1659.6589999999999,6861.133000000002,1521.6839999999997,5352.825,4388.681,3481.115999999999,4552.941000000001,1397.695,5486.789999999999,959.6590000000001,7691.317999999999,6769.650000000001,4820.221,7718.325999999996,7910.060999999998,1194.257,1130.0639999999999,3044.5629999999996,2304.7749999999996,4329.040999999999,975.3309999999999,882.348,4565.770999999999,4142.672,2127.716,1917.2630000000001,734.6909999999999,7052.397999999999,4796.890999999999,2623.306,4291.786999999998
7.0,5695.407,2397.288,4448.072999999999,891.472,658.391,1895.0809999999997,6504.241999999999,1147.2969999999998,3265.539,1355.581,2298.302,3554.8869999999993,4274.293,870.039,1847.326,5378.387999999999,1455.494,1495.476,996.638,4771.1,2470.825,1365.28,584.9449999999999,746.663,2015.8869999999997,2336.7590000000005,6040.994,2171.276,640.6790000000001,1862.972,2301.2749999999996,2442.774,1142.0839999999998,4100.73,1562.753,3109.0759999999996,1062.789,1781.4989999999998,1714.961,467.411,5973.488000000001,2855.053,4063.037999999999,3501.8069999999993,3020.3210000000004,3377.2340000000004,463.28299999999996,4599.916000000001,2163.913,6401.531000000001,5882.776,3530.4339999999993,6428.539000000001,6884.885999999999,2527.6259999999997,2463.4329999999995,2173.0809999999997,1456.7290000000003,3442.1670000000004,711.111,2215.717,3678.897,3255.027,837.929,2192.738,1058.054,6027.843999999999,3910.0169999999994,1736.4320000000002,3001.999999999999
8.0,2638.552,5174.879,178.749,4542.781999999998,4232.143,5539.72,2873.794,4798.606999999999,1733.3610000000003,2698.091999999999,1814.5869999999998,562.126,571.134,3102.749,3059.9879999999994,1747.9399999999998,4174.344,5146.786000000001,4401.023999999999,1332.302,6122.135,2615.8239999999996,3677.9059999999995,3544.6249999999995,3590.7329999999993,2797.8690000000006,2438.417,5822.586000000001,3548.961,4381.876999999999,4478.796999999999,6094.083999999999,4550.838,2094.582,3036.7859999999996,1796.6970000000001,3296.7589999999996,2331.227,3272.9420000000005,3862.2139999999995,2534.69,6506.363000000003,822.8679999999999,2721.278,6226.542999999999,1029.317,4114.593,1171.488,5808.552000000001,2798.9540000000006,2556.962,1883.861,3157.7589999999996,3254.438,6178.935999999999,6114.743000000001,4711.897999999998,4686.765999999999,2661.638,4362.420999999999,5867.027000000002,3405.8289999999997,1587.3799999999997,3254.1669999999995,5653.6759999999995,4709.3640000000005,2397.3959999999997,2802.599,4223.205000000001,1979.34
9.0,5119.360000000001,2944.3,2871.8749999999995,2466.7779999999993,1942.4929999999997,3463.716,4790.184,2722.603,1720.5510000000002,622.088,1027.7489999999998,2299.173,2857.8579999999993,1026.7450000000001,1331.4160000000002,3664.3299999999995,1810.6909999999998,2878.514999999999,2037.371,3226.112,3771.4539999999997,539.8199999999999,1452.776,1291.2910000000002,1227.08,791.771,5073.6500000000015,3746.5820000000012,1472.9569999999997,2018.2239999999997,2115.1440000000002,4018.0799999999995,2187.185,3524.683,622.012,2533.029000000001,970.169,900.3879999999999,1348.8039999999999,1786.21,4428.499999999999,4430.3589999999995,3417.392,2069.3929999999996,3998.0939999999996,1663.176,1976.122,3063.0170000000003,3732.547999999999,5434.187,4443.414999999999,2933.8759999999997,5792.992000000001,5170.827999999999,4102.932,4038.739,2348.245,2323.113,2009.753,2286.417,3537.21,2370.939,1710.039,1178.163,3290.0230000000006,2633.36,4313.785999999999,2477.6029999999996,1859.552,2425.9529999999995
10.0,8358.444,3246.7309999999998,6941.146000000001,2140.2709999999997,2719.522,2013.6370000000002,8859.455,2045.0159999999998,5332.6900000000005,4142.8009999999995,5080.3150000000005,6336.9000000000015,6927.129,3652.0519999999997,4629.339,7733.601,2916.227999999999,1833.4329999999998,2626.379,6513.605999999996,1114.735,4147.292999999999,3074.6229999999996,3236.341,3608.208,4256.942,8823.007,904.4189999999999,3422.692,3321.3549999999996,3718.6730000000007,468.89799999999997,2320.187,6763.766999999998,4052.9199999999996,5891.088999999999,3850.008999999999,4563.512,4236.486,3151.8849999999998,7720.652,928.763,6845.050999999998,5094.128000000001,3634.7719999999995,5732.447,2577.201,6192.236999999997,1277.5999999999997,9183.544,7475.096999999998,6312.446999999999,9091.576000000001,8966.127,596.0419999999999,531.8489999999999,3483.1209999999996,2739.0699999999997,5034.488,2154.837,1273.7589999999998,5095.133,5322.177999999999,3619.941999999999,1901.516,2226.917,8108.463999999999,5502.337999999998,3217.8559999999993,5784.013
11.0,8492.879,3363.2529999999992,7075.581,2274.706,2853.957,2148.072,8993.89,2179.451,5467.125000000001,4277.236,5214.75,6471.335000000001,7061.563999999999,3786.4869999999996,4763.773999999999,7868.035999999999,3050.6629999999996,1967.8679999999997,2760.8140000000003,6648.040999999997,1099.739,4281.727999999999,3209.057999999999,3370.776,3742.643,4391.3769999999995,8957.442,1038.854,3557.1269999999995,3455.79,3853.1080000000006,603.333,2454.6219999999994,6898.201999999998,4187.355,6025.523999999999,3984.4439999999995,4697.946999999999,4370.921,3286.3199999999997,7855.087000000001,1063.198,6979.485999999998,5228.563,3565.269,5866.882,2711.636,6326.671999999997,1412.0349999999999,9317.979,7609.531999999999,6446.881999999999,9226.010999999999,9100.562,730.4770000000001,666.284,3617.5560000000005,2873.504999999999,5168.923,2289.272,1408.194,5229.567999999999,5456.613,3754.3769999999995,1831.968,2361.3520000000003,8242.899,5636.772999999999,3352.2909999999993,5918.448
12.0,6743.809,999.5699999999999,4752.383,1779.297,1311.165,3464.7320000000004,6670.691999999998,2603.776,3024.6639999999998,2019.833,3007.932999999999,4179.680999999999,4738.365999999999,2059.247,2895.7279999999996,5544.837999999999,636.2639999999999,1778.5240000000003,988.812,3951.346,2410.9990000000003,2369.7859999999996,1560.309,1268.4769999999996,1045.9479999999999,1929.508,6954.157999999999,3601.053,2029.5739999999998,702.6099999999999,599.962,3112.8619999999996,946.929,5149.132,1898.4319999999998,4157.478,1725.1039999999998,2810.5819999999994,2860.0769999999998,2221.583,5158.392,4220.612999999999,5111.4400000000005,2531.868,2066.755,3543.6839999999993,1644.899,3629.9770000000003,3706.076,7314.695,4912.836999999999,4578.835999999999,7476.940999999999,6638.6929999999975,3887.8920000000007,3823.698999999999,544.902,433.43500000000006,2472.2280000000005,2116.941,2277.184,1977.5840000000003,3133.415,1678.3989999999997,1555.3220000000001,2639.7079999999996,5781.029999999999,2675.7860000000005,270.46799999999996,4050.4019999999987
13.0,1049.3439999999998,6990.497999999999,1995.118,5912.173000000001,5743.274999999999,6089.065,3079.146,5795.548000000001,3549.6959999999995,4236.398999999999,3628.2669999999994,2378.4610000000002,1655.998,4435.348999999998,3320.8869999999997,1959.6889999999999,5905.307999999999,6516.177,6007.292999999999,2670.868,7483.697000000002,4065.883999999998,5189.038,5055.757,5360.217999999999,4614.204,1670.1660000000002,6667.677999999998,4608.102999999998,6112.840999999999,6209.760999999999,7352.474,6281.801999999999,1681.703,4575.093,2424.211,4835.066,3596.195999999999,3727.8139999999985,4921.355999999999,2747.178999999999,7201.212999999998,1154.0810000000001,4536.9929999999995,8042.161999999998,2845.6520000000005,5625.724999999999,2987.857,6357.896999999999,2030.7029999999995,2772.8489999999997,1587.502,1656.7769999999998,3459.7900000000004,7046.351999999998,7231.602999999998,6442.861999999999,6417.73,4477.973000000001,5731.812,7125.4169999999995,5221.447999999999,3403.7149999999997,4765.298999999998,7213.438999999999,5588.892000000001,2606.158,4618.218,5954.168999999999,2317.1349999999998
14.0,4453.3330000000005,3658.373999999999,3341.9799999999996,2696.5209999999997,2389.9069999999997,3223.5379999999996,5716.135999999999,2579.8960000000006,2653.5329999999994,855.856,1192.209,2448.7940000000003,3168.2,1132.464,605.252,4595.834,2524.765000000001,3300.5249999999996,2653.9249999999997,4159.093999999999,4275.873999999999,700.894,1835.67,1702.3890000000001,2075.068,1724.753,4934.901,3802.1509999999994,1305.2179999999998,2732.2980000000002,2829.218,4188.378,2901.259,2858.656000000001,1194.55,1867.002,1454.5230000000001,675.406,569.6009999999999,1618.471,5361.482,4335.686,2820.964000000001,3002.375,4712.168,2594.68,2272.357,3995.999,3492.37,5295.438,5376.397000000001,2288.3599999999997,5186.465,6096.78,4180.825,4209.037,3062.319,3037.187,2942.735,2516.16,3961.320999999999,3303.921,2643.0209999999997,1411.931,3997.787,2490.6530000000002,5243.148000000001,3410.585000000001,2573.6259999999997,1759.926
15.0,5456.611000000001,2678.2129999999997,3346.3399999999992,2007.4199999999996,1494.017,3023.9429999999998,5264.649,2276.159,2054.875,751.902,1502.2139999999997,2773.638000000001,3332.3229999999994,996.558,1668.6669999999997,4138.794999999999,1544.604,2494.613999999999,1703.536,3560.4359999999997,3469.9629999999997,877.071,939.78,778.2950000000001,1120.1170000000002,1126.095,5497.134000000001,3287.224,1408.455,1752.137,1849.057,3558.7219999999993,1921.0980000000002,3861.9340000000007,323.16,2870.28,457.173,1237.639,1686.0549999999998,1600.464,4762.823999999999,3971.000999999999,3824.242,2300.881,3732.006999999999,2137.6409999999996,1463.126,3397.341,3292.774999999999,5857.671000000001,4681.85,3291.6380000000004,6189.742999999999,5645.292999999999,3643.5739999999996,3579.381,2082.1579999999994,2057.0260000000003,2241.241,1827.0590000000002,3235.7189999999996,2578.969,2044.3629999999996,1057.28,3023.9359999999997,2186.916,4788.250999999999,2709.091,1593.4650000000001,2763.2039999999997
